MGI Gene/Marker ID	Symbol	Name	Chr	Qualifier	Annotated Term	Context	Proteoform	Evidence	Inferred From	Reference(s)
MGI:96185	Hoxb4	homeobox B4	11		positive regulation of stem cell differentiation			ISO	P17483 	J:164563 	
MGI:96208	Hoxd4	homeobox D4	2		stem cell differentiation			IDA		J:154112 	
MGI:96245	Hspa9	heat shock protein 9	18		negative regulation of hematopoietic stem cell differentiation			IMP		J:233573 	
MGI:109323	Htr2b	5-hydroxytryptamine (serotonin) receptor 2B	1		neural crest cell differentiation			IMP		J:40606 	
MGI:109323	Htr2b	5-hydroxytryptamine (serotonin) receptor 2B	1		neural crest cell migration			IMP		J:40606 	
MGI:101791	Isl1	ISL1 transcription factor, LIM/homeodomain	13		cardiac muscle cell myoblast differentiation	happens in embryo		IMP		J:158135 	
MGI:101791	Isl1	ISL1 transcription factor, LIM/homeodomain	13		neural crest cell migration			IGI	MGI:108075 	J:110602 	
MGI:1095416	Jag1	jagged 1	2		cardiac neural crest cell development involved in outflow tract morphogenesis			IMP		J:152574 	
MGI:1095416	Jag1	jagged 1	2		negative regulation of stem cell differentiation			ISO	P78504 	J:164563 	
MGI:104813	Jarid2	jumonji, AT rich interactive domain 2	13		stem cell differentiation			IMP		J:157630 J:157724 J:158991 	
MGI:2661430	Kbtbd8	kelch repeat and BTB (POZ) domain containing 8	6		neural crest cell development			ISO	Q8NFY9 	J:164563 	
MGI:98847	Kdm3a	lysine (K)-specific demethylase 3A	6		regulation of stem cell differentiation			IMP		J:125698 	
MGI:1924054	Kdm4c	lysine (K)-specific demethylase 4C	4		regulation of stem cell differentiation			IDA		J:125698 	
MGI:96677	Kit	KIT proto-oncogene receptor tyrosine kinase	5		stem cell differentiation			IMP		J:147651 	
MGI:96974	Kitl	kit ligand	10		neural crest cell migration	happens in trunk mesenchyme derived from neural crest,results in the movement of melanocyte		IDA		J:69377 	
MGI:2385619	Klhl12	kelch-like 12	1		neural crest cell development			ISO	Q53G59 	J:164563 	
MGI:2443584	L3mbtl2	L3MBTL2 polycomb repressive complex 1 subunit	15		stem cell differentiation			IMP	MGI:5810650 	J:227373 	
MGI:105382	Lama5	laminin, alpha 5	2		neural crest cell migration	happens in embryo,results in the movement of migratory cranial neural crest cell|happens in embryo,results in the movement of migratory trunk neural crest cell		IMP	MGI:1934917 	J:104151 	
MGI:1925139	Lbh	limb-bud and heart	17		negative regulation of stem cell differentiation			IMP		J:220326 	
MGI:96787	Lif	leukemia inhibitory factor	11		stem cell differentiation			IDA		J:190157 	
MGI:1890546	Lin28a	lin-28 homolog A	4		stem cell differentiation			IMP		J:152654 J:152656 	
MGI:1289247	Lmbr1l	limb region 1 like	15		hematopoietic stem cell differentiation			IMP		J:274568 	
MGI:1298218	Lrp6	low density lipoprotein receptor-related protein 6	6		canonical Wnt signaling pathway involved in cardiac neural crest cell differentiation involved in heart development	happens in 3rd branchial arch mesenchyme derived from neural crest		IMP	MGI:2156191 	J:155248 	
MGI:1298218	Lrp6	low density lipoprotein receptor-related protein 6	6		neural crest cell differentiation			ISO	O75581 	J:164563 	
MGI:1101355	Ltbp3	latent transforming growth factor beta binding protein 3	19		positive regulation of mesenchymal stem cell differentiation			ISO	Q9NS15 	J:164563 	
MGI:1346858	Mapk1	mitogen-activated protein kinase 1	16		cardiac neural crest cell development involved in heart development			IGI	MGI:1346859 	J:144862 	
MGI:1346858	Mapk1	mitogen-activated protein kinase 1	16		neural crest cell development			IGI	MGI:1346859 	J:144862 	
MGI:1346859	Mapk3	mitogen-activated protein kinase 3	7		cardiac neural crest cell development involved in heart development			IGI	MGI:1346858 	J:144862 	
MGI:1346859	Mapk3	mitogen-activated protein kinase 3	7		neural crest cell development			IGI	MGI:1346858 	J:144862 	
MGI:99458	Mef2c	myocyte enhancer factor 2C	13		neural crest cell differentiation			IMP		J:173609 	
MGI:1922672	Mettl5	methyltransferase like 5	2		stem cell differentiation			IMP		J:289086 J:301381 	
MGI:3619363	Mir34a	microRNA 34a	4		positive regulation of stem cell differentiation			IMP		J:163558 	
MGI:2676912	Mir99a	microRNA 99a	16		hematopoietic stem cell differentiation	happens in bone marrow		IDA		J:163607 	
MGI:3619057	Mir100	microRNA 100	9		positive regulation of stem cell differentiation			IMP		J:163558 	
MGI:2676809	Mir125a	microRNA 125a	17		negative regulation of stem cell differentiation	regulates the differentiation of embryonic stem cell		IGI	MGI:1921298 	J:192401 	
MGI:2676809	Mir125a	microRNA 125a	17		negative regulation of stem cell differentiation	regulates the differentiation of embryonic stem cell		IMP		J:192401 	
MGI:2676810	Mir125b-1	microRNA 125b-1	9		hematopoietic stem cell differentiation	happens in bone marrow		IDA		J:163607 	
MGI:3618706	Mir125b-2	microRNA 125b-2	16		hematopoietic stem cell differentiation	happens in bone marrow		IDA		J:163607 	
MGI:2676811	Mir126a	microRNA 126a	2		hematopoietic stem cell differentiation	happens in bone marrow		IDA		J:163607 	
MGI:2676816	Mir130a	microRNA 130a	2		hematopoietic stem cell differentiation	happens in bone marrow		IDA		J:163607 	
MGI:2676822	Mir137	microRNA 137	3		positive regulation of stem cell differentiation			IMP		J:163558 	
MGI:2676839	Mir154	microRNA 154	12		negative regulation of mesenchymal stem cell differentiation			IDA		J:228158 	
MGI:2676839	Mir154	microRNA 154	12		negative regulation of mesenchymal stem cell differentiation			IMP		J:228158 	
MGI:2676840	Mir155	microRNA 155	16		hematopoietic stem cell differentiation	happens in bone marrow		IDA		J:163607 	
MGI:3618737	Mir181c	microRNA 181c	8		hematopoietic stem cell differentiation	happens in bone marrow		IDA		J:163607 	
MGI:3718458	Mir193b	microRNA 193b	16		hematopoietic stem cell differentiation	happens in bone marrow		IDA		J:163607 	
MGI:3619450	Mir452	microRNA 452	X		cardiac neural crest cell development involved in outflow tract morphogenesis			IDA		J:166758 	
MGI:3619431	Mir542	microRNA 542	X		hematopoietic stem cell differentiation	happens in bone marrow		IDA		J:163607 	
MGI:2676797	Mirlet7e	microRNA let7e	17		hematopoietic stem cell differentiation	happens in bone marrow		IDA		J:163607 	
MGI:1917372	Mllt3	myeloid/lymphoid or mixed-lineage leukemia; translocated to, 3	4		hematopoietic stem cell differentiation			ISO	P42568 	J:164563 	
MGI:1923876	Msi2	musashi RNA-binding protein 2	11		stem cell development			IMP		J:81794 	
MGI:97168	Msx1	msh homeobox 1	5		stem cell differentiation	happens in branchial arch,results in the differentiation of preosteoblast		IGI	MGI:97169 	J:125119 	
MGI:97169	Msx2	msh homeobox 2	13		stem cell differentiation	happens in branchial arch,results in the differentiation of preosteoblast		IGI	MGI:97168 	J:125119 	
MGI:1929260	Mtch2	mitochondrial carrier 2	2		positive regulation of stem cell differentiation			IMP		J:267823 	
MGI:105050	Mtf2	metal response element binding transcription factor 2	5		stem cell differentiation			IMP		J:157068 	
MGI:2137495	Myocd	myocardin	11		positive regulation of transcription from RNA polymerase II promoter involved in myocardial precursor cell differentiation			ISO	Q8IZQ8 	J:164563 	
MGI:2687207	N4bp2l2	NEDD4 binding protein 2-like 2	5		negative regulation of hematopoietic stem cell differentiation			ISO	Q92802 	J:164563 	
MGI:1919200	Nanog	Nanog homeobox	6		stem cell differentiation	results in the differentiation of embryonic stem cell		IDA		J:156932 	
MGI:1919200	Nanog	Nanog homeobox	6		stem cell differentiation			IMP		J:114674 	
MGI:1276535	Ncoa3	nuclear receptor coactivator 3	2		negative regulation of stem cell differentiation			IMP		J:192962 	
MGI:1931035	Nelfb	negative elongation factor complex member B	2		negative regulation of stem cell differentiation			IMP		J:148508 	
MGI:1931035	Nelfb	negative elongation factor complex member B	2		stem cell differentiation			IMP		J:268012 	
MGI:108420	Nfe2l2	nuclear factor, erythroid derived 2, like 2	2		negative regulation of hematopoietic stem cell differentiation			IMP		J:195199 	
MGI:97350	Nkx2-5	NK2 homeobox 5	17		positive regulation of cardioblast differentiation			IMP		J:134004 	
MGI:1918019	Nolc1	nucleolar and coiled-body phosphoprotein 1	19		neural crest cell development			ISO	Q14978 	J:164563 	
MGI:97363	Notch1	notch 1	2		negative regulation of stem cell differentiation			ISO	P46531 	J:164563 	
MGI:97363	Notch1	notch 1	2		regulation of transcription from RNA polymerase II promoter involved in myocardial precursor cell differentiation			IMP		J:170885 	
MGI:96083	Nrg1	neuregulin 1	8		cardiac muscle cell myoblast differentiation			ISO	Q02297 	J:164563 	
MGI:106206	Nrp1	neuropilin 1	8	NOT	cardiac neural crest cell migration involved in outflow tract morphogenesis			IMP		J:225355 	
MGI:106206	Nrp1	neuropilin 1	8		neural crest cell migration involved in autonomic nervous system development	results in the movement of migratory cranial neural crest cell		IMP		J:134486 	
MGI:106206	Nrp1	neuropilin 1	8		neural crest cell migration involved in autonomic nervous system development	results in the movement of migratory trunk neural crest cell		IMP		J:149474 	
MGI:106206	Nrp1	neuropilin 1	8		neural crest cell migration involved in autonomic nervous system development			IMP		J:209482 	
MGI:106206	Nrp1	neuropilin 1	8		ventral trunk neural crest cell migration			IMP		J:149474 	
MGI:1100492	Nrp2	neuropilin 2	1		neural crest cell migration	happens in trunk mesenchyme derived from neural crest,results in the movement of migratory trunk neural crest cell		IMP	MGI:2137037 	J:104892 	
MGI:1100492	Nrp2	neuropilin 2	1		neural crest cell migration involved in autonomic nervous system development	results in the movement of migratory cranial neural crest cell		IMP		J:134486 	
MGI:1100492	Nrp2	neuropilin 2	1		neural crest cell migration involved in autonomic nervous system development	results in the movement of migratory trunk neural crest cell		IMP		J:149474 	
MGI:1100492	Nrp2	neuropilin 2	1		ventral trunk neural crest cell migration			IMP		J:149474 	
MGI:108417	Nrtn	neurturin	17		neural crest cell migration			ISO	Q99748 	J:73065 	
MGI:107252	Nsun2	NOL1/NOP2/Sun domain family member 2	13		regulation of stem cell differentiation			IMP		J:179810 	
MGI:1915469	Nudt21	nudix (nucleoside diphosphate linked moiety X)-type motif 21	8		positive regulation of stem cell differentiation			IMP		J:255517 	
MGI:1915345	Ociad1	OCIA domain containing 1	5		regulation of stem cell differentiation			IMP		J:243387 	
MGI:1344424	Osr1	odd-skipped related transcription factor 1	12		stem cell differentiation			IDA		J:172946 	
MGI:1859615	Otud5	OTU domain containing 5	X		neural crest cell differentiation			ISO	Q96G74 	J:164563 	
MGI:1338039	Ovol2	ovo like zinc finger 2	2		neural crest cell migration	happens in branchial arch,results in the movement of migratory cranial neural crest cell		IMP	MGI:3522498 	J:106405 	
MGI:97486	Pax2	paired box 2	19		stem cell differentiation			IDA		J:172946 	
MGI:97487	Pax3	paired box 3	1		neural crest cell migration	happens in embryo,results in the movement of migratory neural crest cell		IMP	MGI:3043030 	J:93195 	
MGI:97490	Pax6	paired box 6	2		neural crest cell migration			ISO	RGD:3258 	J:155856 	
MGI:109283	Pdcd6	programmed cell death 6	13		neural crest cell development			ISO	O75340 	J:164563 	
MGI:97530	Pdgfra	platelet derived growth factor receptor, alpha polypeptide	5		regulation of mesenchymal stem cell differentiation			ISO	P16234 	J:164563 	
MGI:102851	Pdx1	pancreatic and duodenal homeobox 1	5		stem cell differentiation			ISO	RGD:62387 	J:155856 	
MGI:1915148	Pef1	penta-EF hand domain containing 1	4		neural crest cell development			ISO	Q9UBV8 	J:164563 	
MGI:2140327	Phactr4	phosphatase and actin regulator 4	4		neural crest cell migration			IBA	PTN002653873 	J:265628 	
MGI:2140327	Phactr4	phosphatase and actin regulator 4	4		neural crest cell migration			IMP		J:179369 	
MGI:1921266	Phf19	PHD finger protein 19	2		stem cell differentiation			IMP		J:196211 J:196212 	
MGI:1100882	Phox2b	paired-like homeobox 2b	5		neural crest cell migration involved in autonomic nervous system development			IMP		J:55391 	
MGI:109340	Pitx2	paired-like homeodomain transcription factor 2	3		cardiac neural crest cell migration involved in outflow tract morphogenesis			IMP		J:80691 	
MGI:101893	Pou5f1	POU domain, class 5, transcription factor 1	17		stem cell differentiation	results in the differentiation of embryonic stem cell		IDA		J:156932 	
